impact,check,contract,function,file,lines
Informational,naming-convention,_spender,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,145
Informational,naming-convention,_spender,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,137
Informational,naming-convention,__gap,,node_modules/@tokenysolutions/t-rex/contracts/registry/storage/TIRStorage.sol,82
Informational,naming-convention,_identity,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/IdentityRegistryStorage.sol,82
Informational,naming-convention,_countries,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/IdentityRegistry.sol,112
Informational,naming-convention,_amounts,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,242
Informational,naming-convention,_from,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,221
Informational,naming-convention,_identityRegistry,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,101
Informational,naming-convention,_country,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/IdentityRegistryStorage.sol,112
Informational,naming-convention,__gap,,node_modules/@tokenysolutions/t-rex/contracts/token/TokenStorage.sol,97
Informational,naming-convention,_identityRegistry,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/IdentityRegistryStorage.sol,133
Informational,naming-convention,_userAddresses,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,279
Informational,naming-convention,_to,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,417
Informational,naming-convention,_name,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,161
Informational,naming-convention,_userAddresses,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,261
Informational,naming-convention,_issuer,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/TrustedIssuersRegistry.sol,191
Informational,naming-convention,_claimTopic,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/TrustedIssuersRegistry.sol,191
Informational,naming-convention,_userAddress,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,479
Informational,naming-convention,_to,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,433
Informational,naming-convention,_amount,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,464
Informational,naming-convention,_amounts,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,279
Informational,naming-convention,_amounts,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,204
Informational,naming-convention,_symbol,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,104
Informational,naming-convention,_identityStorage,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/IdentityRegistry.sol,90
Informational,naming-convention,_agent,,node_modules/@tokenysolutions/t-rex/contracts/roles/AgentRoleUpgradeable.sol,95
Informational,naming-convention,_toList,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,241
Informational,naming-convention,__Context_init,,node_modules/@openzeppelin/contracts-upgradeable/utils/ContextUpgradeable.sol,18-19
Informational,naming-convention,_identity,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/IdentityRegistryStorage.sol,98
Informational,naming-convention,_country,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/IdentityRegistryStorage.sol,83
Informational,naming-convention,_toList,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,252
Informational,naming-convention,_freeze,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,479
Informational,naming-convention,_spender,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,334
Informational,naming-convention,_userAddresses,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,288
Informational,naming-convention,_userAddress,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/IdentityRegistry.sol,131
Informational,naming-convention,_amount,,node_modules/@tokenysolutions/t-rex/contracts/token/Token.sol,137
Informational,similar-names,_claimTopic,,node_modules/@tokenysolutions/t-rex/contracts/registry/interface/ITrustedIssuersRegistry.sol,161
Informational,similar-names,claimTopics,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/TrustedIssuersRegistry.sol,193
Informational,similar-names,_claimTopic,,node_modules/@tokenysolutions/t-rex/contracts/registry/implementation/TrustedIssuersRegistry.sol,191
